sex,actual_weight,actual_height,reported_weight,reported_height
NF,77,182,77,180
F,58,161,51,159
F,53,161,54,158
NF,68,177,70,175
F,59,157,59,155
NF,76,170,76,165
NF,76,167,77,165
NF,69,186,73,180
NF,71,178,71,175
NF,65,171,64,170
NF,70,175,75,174
F,57,166,56,163
F,51,161,52,158
F,64,168,64,165
F,52,163,57,160
F,65,166,66,165
NF,92,187,101,185
F,62,168,62,165
NF,76,197,75,200
F,61,175,61,171
NF,119,180,124,178
F,61,170,61,170
NF,65,175,66,173
NF,66,173,70,170
F,54,171,59,168
F,50,166,50,165
F,63,169,61,168
F,58,166,60,160
F,39,157,41,153
NF,101,183,100,180
F,71,166,71,165
NF,75,178,73,175
NF,79,173,76,173
F,52,164,52,161
F,68,169,63,170
NF,64,176,65,175
F,56,166,54,165
NF,69,174,69,171
NF,88,178,86,175
NF,65,187,67,188
F,54,164,53,160
NF,80,178,80,178
F,63,163,59,159
NF,78,183,80,180
NF,85,179,82,175
F,54,160,55,158
NF,73,180,,
F,49,161,,
F,54,174,56,173
F,75,162,75,158
NF,82,182,85,183
F,56,165,57,163
NF,74,169,73,170
NF,102,185,107,185
NF,64,177,,
NF,65,176,64,172
F,66,170,65,
NF,73,183,74,180
NF,75,172,70,169
NF,57,173,58,170
NF,68,165,69,165
NF,71,177,71,170
NF,71,180,76,175
F,78,173,75,169
NF,97,189,98,185
F,60,162,59,160
F,64,165,63,163
F,64,164,62,161
F,52,158,51,155
NF,80,178,76,175
F,62,175,61,171
NF,66,173,66,175
F,55,165,54,163
F,56,163,57,159
F,50,166,50,161
F,50,171,,
F,50,160,55,150
F,63,160,64,158
NF,69,182,70,180
NF,69,183,70,183
F,61,165,60,163
NF,55,168,56,170
F,53,169,52,175
F,60,167,55,163
F,56,170,56,170
NF,59,182,61,183
NF,62,178,66,175
F,53,165,53,165
F,57,163,59,160
F,57,162,56,160
NF,70,173,68,170
F,56,161,56,161
NF,84,184,86,183
NF,69,180,71,180
NF,88,189,87,185
F,56,165,57,160
NF,103,185,101,182
F,50,169,50,165
F,52,159,52,153
F,55,155,,154
F,55,164,55,163
NF,63,178,63,175
F,47,163,47,160
F,45,163,45,160
F,62,175,63,173
F,53,164,51,160
F,52,152,51,150
F,57,167,55,164
F,64,166,64,165
F,59,166,55,163
NF,84,183,90,183
NF,79,179,79,171
F,55,174,57,171
NF,67,179,67,179
F,76,167,77,165
F,62,168,62,163
NF,83,184,83,181
NF,96,184,94,183
NF,75,169,76,165
NF,65,178,66,178
NF,78,178,77,175
NF,69,167,73,165
F,68,178,68,175
F,55,165,55,163
NF,67,179,,
F,52,169,56,
F,47,153,,154
F,45,157,45,153
F,68,171,68,169
F,44,157,44,155
F,62,166,61,163
NF,87,185,89,185
F,56,160,53,158
F,50,148,47,148
NF,83,177,84,175
F,53,162,53,160
F,64,172,62,168
F,62,167,,
NF,90,188,91,185
NF,85,191,83,188
NF,66,175,68,175
F,52,163,53,160
F,53,165,55,163
F,54,176,55,176
F,64,171,66,171
F,55,160,55,155
F,55,165,55,165
F,59,157,55,158
F,70,173,67,170
NF,88,184,86,183
F,57,168,58,165
F,47,162,47,160
F,47,150,45,152
F,55,162,,
F,48,163,44,160
NF,54,169,58,165
NF,69,172,68,174
F,59,170,,
F,58,169,,
F,57,167,56,165
F,51,163,50,160
F,54,161,54,160
F,53,162,52,158
F,59,172,58,171
NF,56,163,58,161
F,59,159,59,155
F,63,170,62,168
F,66,166,66,165
NF,96,191,95,188
F,53,158,50,155
NF,76,169,75,165
F,54,163,,
NF,61,170,61,170
NF,82,176,,
NF,62,168,64,168
NF,71,178,68,178
F,60,174,,
NF,66,170,67,165
NF,81,178,82,175
NF,68,174,68,173
NF,80,176,78,175
F,43,154,,
NF,82,181,,
F,63,165,59,160
NF,70,173,70,173
F,56,162,56,160
F,60,172,55,168
F,58,169,54,166
NF,76,183,75,180
F,50,158,49,155
NF,88,185,93,188
NF,89,173,86,173
F,59,164,59,165
F,51,156,51,158
F,62,164,61,161
NF,74,175,71,175
NF,83,180,80,180
NF,81,175,,
NF,90,181,91,178
NF,79,177,81,178
