year,judge,district,respondents,retention,knowledge,perception,punctuality,attention,management,demeanor,clarity,promptness,criticism,decision,courteous,equality
2018,"Bauercamper, John J.",1A,112,85,4.02,3.95,4.52,4.02,4.38,3.97,3.88,4.12,4.2,4.2,4.1,4.39
2018,"Bitter, Thomas",1A,107,94,4.37,4.44,4.67,4.59,4.55,4.72,4.3,4.28,4.66,4.51,4.77,4.76
2018,"Wittig, Monica",1A,100,54,3.17,3.15,3.45,3.42,3.54,3.41,2.94,3.11,3.01,2.89,3.8,3.73
2018,"Richter, Robert",1A,93,89,4.33,4.37,4.33,4.35,4.16,3.97,4.38,4.21,4.17,4.4,4.19,4.57
2018,"Dryer, Andrea J.",1B,84,90,4.3,4.33,4.55,4.52,4.49,4.38,4.41,4.13,4.54,4.46,4.53,4.64
2018,"Lekar, Kellyanne",1B,94,94,4.39,4.43,4.2,4.43,4.56,4.47,4.44,4.3,4.41,4.4,4.42,4.57
2018,"Staudt, David F.",1B,83,92,3.95,4.12,3.91,4.27,4.33,4.42,3.98,4.05,4.37,4.4,4.53,4.53
2018,"Harris, Jeffrey L.",1B,82,63,3.54,3.51,4.53,3.83,4,2.83,3.7,4.14,3.13,3.58,2.79,3.78
2018,"Jacobsen, Brook K.",1B,72,94,4.38,4.23,4.53,4.54,4.53,4.47,4.27,4.3,4.57,4.21,4.8,4.65
2018,"Wegman, Patrick",1B,75,95,4.22,4.44,4.56,4.44,4.44,4.63,4.19,4.38,4.63,4.37,4.68,4.37
2018,"Davenport, Rustin",1C,80,97,4.49,4.39,4.62,4.53,4.53,4.68,4.49,4.4,4.63,4.49,4.65,4.56
2018,"Drew, James M.",1C,85,99,4.7,4.72,4.8,4.77,4.82,4.78,4.67,4.76,4.69,4.68,4.73,4.63
2018,"Kester, Adria",2B,106,97,4.56,4.56,4.74,4.64,4.7,4.62,4.58,4.72,4.59,4.65,4.51,4.75
2018,"Oeth, Steven J.",2B,110,98,4.45,4.46,4.6,4.4,4.57,4.53,4.34,4.56,4.54,4.43,4.59,4.63
2018,"Stoebe, Kurt",2B,106,98,4.46,4.43,4.56,4.51,4.53,4.45,4.47,4.46,4.5,4.46,4.55,4.62
2018,"Wilke, Kurt L.",2B,109,95,4.32,4.32,4.45,4.12,4.38,3.96,4.19,4.37,4.19,4.2,4.1,4.43
2018,"Ahlers, Paul B.",2B,98,85,4.54,4.34,4.43,4.33,4.18,3.3,4.3,4.29,3.68,4.12,3.33,4.1
